Parameter,AASI
K_ALK,21.790317323672188
K_A_ALK,107.73932949864275
K_A_NH4,341.5523013424973
K_A_O2,118.24921889972971
K_NH4,2.471731633715514
K_NOX,100.12688373025848
K_O2,63.00322627617042
K_S,2189.8681600848895
K_STO,23.443551582902117
K_X,227.98688605918477
Y_A,143.13145228480695
Y_H_NOX,165.5785505748892
Y_H_O2,270.4861694245172
Y_STO_NOX,168.58360759375822
Y_STO_O2,288.08402542163844
b_A_NOX,29.256556353287685
b_A_O2,48.92254531563385
b_H_NOX,37.1505411318646
b_H_O2,92.73081212487244
b_STO_NOX,31.894317173188448
b_STO_O2,57.82375035512149
eta_NOX,114.03310202513626
f_S_I,0.316311748090861
f_X_I,47.481943416918746
i_N_BM,75.69512343362646
i_N_S_I,2.1519386277799804
i_N_S_S,12.285949073534294
i_N_X_I,9.981278779573566
i_N_X_S,53.59386027636348
i_SS_BM,0.0
i_SS_X_I,0.0
i_SS_X_S,0.0
k_H,1976.324378901641
k_STO,2752.5709101463585
mu_A,331.2350760688589
mu_H,727.1105571463522
